gvkey,iid,datadate,cshoc,prccd
064655,02,20191231,253808000.0000,32.1000
064655,02,20200102,253808000.0000,32.0118
064655,02,20200103,253808000.0000,32.0118
064655,02,20200106,253808000.0000,32.0118
064655,02,20200107,253808000.0000,32.0118
064655,02,20200108,253808000.0000,32.0118
064655,02,20200109,253808000.0000,32.0118
064655,02,20200110,253808000.0000,33.1655
064655,02,20200113,253808000.0000,33.3350
064655,02,20200114,253808000.0000,33.3350
064655,02,20200115,253808000.0000,33.3350
064655,02,20200116,253808000.0000,33.3350
064655,02,20200117,253808000.0000,33.3350
064655,02,20200121,253808000.0000,33.3350
064655,02,20200122,253808000.0000,33.3350
064655,02,20200123,253808000.0000,33.3350
064655,02,20200124,253808000.0000,33.3350
064655,02,20200127,253808000.0000,33.3900
064655,02,20200128,253808000.0000,34.3085
064655,02,20200129,253808000.0000,33.9776
064655,02,20200130,253808000.0000,33.9776
064655,02,20200131,253808000.0000,33.9776
064655,02,20200203,253808000.0000,33.9776
064655,02,20200204,253808000.0000,33.9776
064655,02,20200205,253808000.0000,33.9776
064655,02,20200206,253808000.0000,33.9776
064655,02,20200207,253808000.0000,33.9776
064655,02,20200210,253808000.0000,33.9776
064655,02,20200211,253808000.0000,33.9776
064655,02,20200212,253808000.0000,33.9776
064655,02,20200213,253808000.0000,33.9776
064655,02,20200214,253804000.0000,33.3474
064655,02,20200218,253804000.0000,33.3474
064655,02,20200219,253804000.0000,33.3474
064655,02,20200220,253804000.0000,33.3474
064655,02,20200221,253804000.0000,33.3474
064655,02,20200224,253804000.0000,33.3474
064655,02,20200225,253804000.0000,32.4300
064655,02,20200226,253804000.0000,32.5970
064655,02,20200227,253804000.0000,32.5970
064655,02,20200228,253804000.0000,30.5548
064655,02,20200302,253804000.0000,30.5000
064655,02,20200303,253804000.0000,30.5000
064655,02,20200304,253804000.0000,30.5000
064655,02,20200305,253804000.0000,30.5000
064655,02,20200306,253804000.0000,30.5000
064655,02,20200309,253804000.0000,30.2398
064655,02,20200310,253804000.0000,30.2398
064655,02,20200311,253804000.0000,29.4900
064655,02,20200312,253804000.0000,25.0465
064655,02,20200313,253804000.0000,26.1400
064655,02,20200316,253804000.0000,23.8670
064655,02,20200317,253804000.0000,22.7500
064655,02,20200318,253804000.0000,22.0500
064655,02,20200319,253804000.0000,22.0500
064655,02,20200320,253804000.0000,24.5541
064655,02,20200323,253804000.0000,22.5000
064655,02,20200324,253804000.0000,23.0000
064655,02,20200325,253804000.0000,23.9945
064655,02,20200326,253804000.0000,23.9945
064655,02,20200327,253804000.0000,23.5000
064655,02,20200330,253804000.0000,22.9310
064655,02,20200331,253804000.0000,22.9310
064655,02,20200401,253804000.0000,22.5644
064655,02,20200402,253804000.0000,22.5644
064655,02,20200403,253804000.0000,22.5644
064655,02,20200406,253804000.0000,22.5644
064655,02,20200407,253804000.0000,25.8791
064655,02,20200408,253804000.0000,25.8500
064655,02,20200409,253804000.0000,25.8883
064655,02,20200413,253804000.0000,25.8883
064655,02,20200414,253804000.0000,26.2785
064655,02,20200415,253804000.0000,26.2785
064655,02,20200416,253804000.0000,26.2785
064655,02,20200417,253804000.0000,26.2785
064655,02,20200420,253804000.0000,26.2785
064655,02,20200421,253804000.0000,26.2785
064655,02,20200422,253804000.0000,26.2785
064655,02,20200423,253804000.0000,26.2785
064655,02,20200424,253804000.0000,28.3952
064655,02,20200427,253804000.0000,28.3952
