gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,curcdq,datacqtr,datafqtr,atq,dlcq,dlttq,costat
064655,19990731,1999,1,INDL,C,D,STD,CAD,1999Q2,1999Q1,521.2760,,184.6400,A
064655,19991031,1999,2,INDL,C,D,STD,CAD,1999Q3,1999Q2,537.8040,,183.3520,A
064655,20000131,1999,3,INDL,C,D,STD,CAD,1999Q4,1999Q3,522.1740,,169.0580,A
064655,20000430,1999,4,INDL,C,D,STD,CAD,2000Q1,1999Q4,547.3380,11.5320,172.1370,A
064655,20000731,2000,1,INDL,C,D,STD,CAD,2000Q2,2000Q1,556.2990,,159.6130,A
064655,20001031,2000,2,INDL,C,D,STD,CAD,2000Q3,2000Q2,553.5120,,156.4740,A
064655,20010131,2000,3,INDL,C,D,STD,CAD,2000Q4,2000Q3,548.0140,,149.4350,A
064655,20010430,2000,4,INDL,C,D,STD,CAD,2001Q1,2000Q4,556.1300,9.9030,139.0940,A
064655,20010731,2001,1,INDL,C,D,STD,CAD,2001Q2,2001Q1,736.3950,24.0000,243.5120,A
064655,20011031,2001,2,INDL,C,D,STD,CAD,2001Q3,2001Q2,758.2160,21.0400,241.6220,A
064655,20020131,2001,3,INDL,C,D,STD,CAD,2001Q4,2001Q3,753.1860,4.0340,178.8200,A
064655,20020430,2001,4,INDL,C,D,STD,CAD,2002Q1,2001Q4,787.1670,8.3620,172.2910,A
064655,20020731,2002,1,INDL,C,D,STD,CAD,2002Q2,2002Q1,845.6010,21.3050,190.6040,A
064655,20021031,2002,2,INDL,C,D,STD,CAD,2002Q3,2002Q2,1037.4070,42.3460,261.9640,A
064655,20030131,2002,3,INDL,C,D,STD,CAD,2002Q4,2002Q3,1018.1170,65.4000,249.2010,A
064655,20030430,2002,4,INDL,C,D,STD,CAD,2003Q1,2002Q4,1071.3480,17.9860,278.3270,A
064655,20030731,2003,1,INDL,C,D,STD,CAD,2003Q2,2003Q1,1103.7470,35.9270,255.5490,A
064655,20031031,2003,2,INDL,C,D,STD,CAD,2003Q3,2003Q2,1110.1200,16.4980,225.5090,A
064655,20040131,2003,3,INDL,C,D,STD,CAD,2003Q4,2003Q3,2561.5210,30.4390,1122.3180,A
064655,20040430,2003,4,INDL,C,D,STD,CAD,2004Q1,2003Q4,2233.4930,6.0320,724.5000,A
064655,20040731,2004,1,INDL,C,D,STD,CAD,2004Q2,2004Q1,2300.7000,7.2000,695.2000,A
064655,20041031,2004,2,INDL,C,D,STD,CAD,2004Q3,2004Q2,2302.0000,7.1000,660.7000,A
064655,20050131,2004,3,INDL,C,D,STD,CAD,2004Q4,2004Q3,2255.9000,7.8000,652.4000,A
064655,20050430,2004,4,INDL,C,D,STD,CAD,2005Q1,2004Q4,2437.8000,8.6000,647.0000,A
064655,20050731,2005,1,INDL,C,D,STD,CAD,2005Q2,2005Q1,2480.5720,8.8250,639.9380,A
064655,20051031,2005,2,INDL,C,D,STD,CAD,2005Q3,2005Q2,2605.2650,8.7290,613.7460,A
064655,20060131,2005,3,INDL,C,D,STD,CAD,2005Q4,2005Q3,2504.4840,8.8060,592.7280,A
064655,20060430,2005,4,INDL,C,D,STD,CAD,2006Q1,2005Q4,2654.2150,8.9620,578.1870,A
064655,20060731,2006,1,INDL,C,D,STD,CAD,2006Q2,2006Q1,2739.1530,9.3860,581.2830,A
064655,20061031,2006,2,INDL,C,D,STD,CAD,2006Q3,2006Q2,2997.4390,0.7360,658.6540,A
064655,20070131,2006,3,INDL,C,D,STD,CAD,2006Q4,2006Q3,3400.9310,0.5900,1092.8840,A
064655,20070430,2006,4,INDL,C,D,STD,CAD,2007Q1,2006Q4,3368.2140,0.5530,962.3630,A
064655,20070731,2007,1,INDL,C,D,STD,CAD,2007Q2,2007Q1,3390.3130,0.5330,902.3500,A
064655,20071031,2007,2,INDL,C,D,STD,CAD,2007Q3,2007Q2,3167.9610,1.1400,811.2440,A
064655,20080131,2007,3,INDL,C,D,STD,CAD,2007Q4,2007Q3,3193.9390,1.2020,765.6760,A
064655,20080430,2007,4,INDL,C,D,STD,CAD,2008Q1,2007Q4,3351.1500,1.2110,848.7370,A
064655,20080731,2008,1,INDL,C,D,STD,CAD,2008Q2,2008Q1,3584.2700,1.5390,892.2970,A
064655,20081031,2008,2,INDL,C,D,STD,CAD,2008Q3,2008Q2,4040.5900,3.5260,1004.7380,A
